ID,LAND,INDHOLD,SITC,TID
965,Tyskland,4620379,Diverse fremstillede varer,2018
2029,Tyskland,16667953,Kemikalier og relaterede produkter,2018
4157,Tyskland,64114806,Maskiner og transportmidler,2018
4933,Norge,13263039,Mineralbrændstoffer og smøremidler,2018
3093,Tyskland,19661345,"levende dyr, fødevarer, drikkevarer og tobak",2018
966,Tyskland,4621013,Diverse fremstillede varer,2019
2030,Tyskland,16285769,Kemikalier og relaterede produkter,2019
4158,Tyskland,59199233,Maskiner og transportmidler,2019
4934,Norge,9504497,Mineralbrændstoffer og smøremidler,2019
3094,Tyskland,19824846,"levende dyr, fødevarer, drikkevarer og tobak",2019
471,Kina,5025577,Diverse fremstillede varer,2020
2031,Tyskland,17503958,Kemikalier og relaterede produkter,2020
4159,Tyskland,57970997,Maskiner og transportmidler,2020
5223,Tyskland,6352712,Mineralbrændstoffer og smøremidler,2020
3095,Tyskland,19001572,"levende dyr, fødevarer, drikkevarer og tobak",2020
472,Kina,5975069,Diverse fremstillede varer,2021
2032,Tyskland,20686685,Kemikalier og relaterede produkter,2021
4160,Tyskland,61379285,Maskiner og transportmidler,2021
5224,Tyskland,11857287,Mineralbrændstoffer og smøremidler,2021
3096,Tyskland,20190156,"levende dyr, fødevarer, drikkevarer og tobak",2021
